sample,time,temp1,val1,val2,val3,
1,4.0464,24.086,+1.05906123E+01,1.05907661E+01,+2.04000000E-02,
2,8.0965,24.086,+1.05906114E+01,1.05907676E+01,+2.04000000E-02,
3,12.1508,24.086,+1.05906112E+01,1.05907674E+01,+2.02690000E-02,
4,16.2048,24.086,+1.05906110E+01,1.05907684E+01,+2.02690000E-02,
5,20.2579,24.086,+1.05906115E+01,1.05907679E+01,+2.02690000E-02,
6,24.6791,24.086,+1.05906112E+01,1.05907754E+01,+2.02690000E-02,
7,29.0800,24.086,+1.05906114E+01,1.05907713E+01,+2.04000000E-02,
8,33.4799,24.086,+1.05906115E+01,1.05907700E+01,+2.04000000E-02,
9,37.8789,24.086,+1.05906111E+01,1.05907693E+01,+2.04000000E-02,
10,42.2813,24.086,+1.05906101E+01,1.05907689E+01,+2.04000000E-02,
11,46.6788,24.086,+1.05906113E+01,1.05907679E+01,+2.04000000E-02,
12,51.0792,24.086,+1.05906108E+01,1.05907718E+01,+2.04000000E-02,
13,55.4792,24.086,+1.05906117E+01,1.05907683E+01,+2.04000000E-02,
14,59.8793,24.086,+1.05906117E+01,1.05907680E+01,+2.04000000E-02,
15,64.2798,24.086,+1.05906111E+01,1.05907674E+01,+2.04000000E-02,
16,68.6805,24.086,+1.05906119E+01,1.05907680E+01,+2.02690000E-02,
17,73.0815,24.094,+1.05906112E+01,1.05907653E+01,+2.04000000E-02,
18,77.4837,24.094,+1.05906117E+01,1.05907689E+01,+2.04000000E-02,
19,81.8865,24.094,+1.05906114E+01,1.05907673E+01,+2.04000000E-02,
20,86.2862,24.094,+1.05906112E+01,1.05907682E+01,+2.04000000E-02,
21,90.6891,24.094,+1.05906121E+01,1.05907688E+01,+2.02690000E-02,
22,95.0909,24.094,+1.05906115E+01,1.05907686E+01,+2.04000000E-02,
23,99.4905,24.094,+1.05906124E+01,1.05907683E+01,+2.02690000E-02,
24,103.8918,24.094,+1.05906127E+01,1.05907681E+01,+2.02690000E-02,
25,108.2942,24.070,+1.05906123E+01,1.05907670E+01,+2.02690000E-02,
26,112.6963,24.070,+1.05906124E+01,1.05907661E+01,+2.02690000E-02,
27,117.0999,24.070,+1.05906125E+01,1.05907654E+01,+2.04000000E-02,
28,121.5001,24.070,+1.05906130E+01,1.05907674E+01,+2.04000000E-02,
29,125.9025,24.070,+1.05906128E+01,1.05907671E+01,+2.04000000E-02,
30,130.3043,24.070,+1.05906115E+01,1.05907681E+01,+2.02690000E-02,
31,134.7053,24.070,+1.05906116E+01,1.05907694E+01,+2.02690000E-02,
32,139.1067,24.070,+1.05906121E+01,1.05907667E+01,+2.02690000E-02,
33,143.5093,24.078,+1.05906117E+01,1.05907648E+01,+2.04000000E-02,
34,147.9113,24.078,+1.05906123E+01,1.05907687E+01,+2.04000000E-02,
35,152.3137,24.078,+1.05906129E+01,1.05907699E+01,+2.04000000E-02,
36,156.7165,24.078,+1.05906131E+01,1.05907676E+01,+2.04000000E-02,
37,161.1201,24.078,+1.05906127E+01,1.05907668E+01,+2.02690000E-02,
38,165.5217,24.078,+1.05906122E+01,1.05907671E+01,+2.04000000E-02,
39,169.9302,24.078,+1.05906121E+01,1.05907695E+01,+2.04000000E-02,
40,174.3266,24.078,+1.05906124E+01,1.05907682E+01,+2.04000000E-02,
41,178.7298,24.078,+1.05906125E+01,1.05907684E+01,+2.04000000E-02,
